assay_id,sample_id,lake_id,point_id,analyte,level_code,technical_duplicate,assay_date,native_read_time,c0_value,c0_unit,matrix_dilution,kit_manufacturer,kit_sku,kit_lot,kit_expiry,kit_lower_limit_mg_l,kit_upper_limit_mg_l,reported_species,kit_wavelength_nm,cuvette_mm,standard_lot,standard_concentration_mg_l,sample_volume_ml,stock_volume_ml,blank_volume_ml,final_volume_ml,actual_delta_mg_l,native_spectrum_time,native_spectrum_file,reagent_time,reacted_spectrum_time,reacted_spectrum_file,reaction_time_min,reaction_temperature_c,reagent_blank_value,certified_control_value,measured_control_value,reference_kit_value,reference_kit_unit,reference_time,operator,qc_note,native_blank_file,reacted_blank_file,filtered_045_um
L01-P2-orthophosphate-2L,L01-P2,L01,P2,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-orthophosphate-5L,L01-P2,L01,P2,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-orthophosphate-10L,L01-P2,L01,P2,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-orthophosphate-0-DUP,L01-P2,L01,P2,orthophosphate,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-orthophosphate-10L-DUP,L01-P2,L01,P2,orthophosphate,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-ammonium-0,L01-P2,L01,P2,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-ammonium-2L,L01-P2,L01,P2,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-ammonium-5L,L01-P2,L01,P2,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-ammonium-10L,L01-P2,L01,P2,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-ammonium-0-DUP,L01-P2,L01,P2,ammonium,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-ammonium-10L-DUP,L01-P2,L01,P2,ammonium,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-nitrite-0,L01-P2,L01,P2,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-nitrite-2L,L01-P2,L01,P2,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-nitrite-5L,L01-P2,L01,P2,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-nitrite-10L,L01-P2,L01,P2,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-nitrite-0-DUP,L01-P2,L01,P2,nitrite,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-nitrite-10L-DUP,L01-P2,L01,P2,nitrite,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-orthophosphate-0,L01-P3,L01,P3,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-orthophosphate-2L,L01-P3,L01,P3,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-orthophosphate-5L,L01-P3,L01,P3,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-orthophosphate-10L,L01-P3,L01,P3,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-ammonium-0,L01-P3,L01,P3,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-ammonium-2L,L01-P3,L01,P3,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-ammonium-5L,L01-P3,L01,P3,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-ammonium-10L,L01-P3,L01,P3,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-nitrite-0,L01-P3,L01,P3,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-nitrite-2L,L01-P3,L01,P3,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-nitrite-5L,L01-P3,L01,P3,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P3-nitrite-10L,L01-P3,L01,P3,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-orthophosphate-0,L02-P1,L02,P1,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-orthophosphate-2L,L02-P1,L02,P1,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-orthophosphate-5L,L02-P1,L02,P1,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-orthophosphate-10L,L02-P1,L02,P1,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-ammonium-0,L02-P1,L02,P1,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-ammonium-2L,L02-P1,L02,P1,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-ammonium-5L,L02-P1,L02,P1,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-ammonium-10L,L02-P1,L02,P1,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-nitrite-0,L02-P1,L02,P1,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-nitrite-2L,L02-P1,L02,P1,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-nitrite-5L,L02-P1,L02,P1,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P1-nitrite-10L,L02-P1,L02,P1,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-orthophosphate-0,L02-P2,L02,P2,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-orthophosphate-2L,L02-P2,L02,P2,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-orthophosphate-5L,L02-P2,L02,P2,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-orthophosphate-10L,L02-P2,L02,P2,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-orthophosphate-0-DUP,L02-P2,L02,P2,orthophosphate,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-orthophosphate-10L-DUP,L02-P2,L02,P2,orthophosphate,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-ammonium-0,L02-P2,L02,P2,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-ammonium-2L,L02-P2,L02,P2,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-ammonium-5L,L02-P2,L02,P2,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-ammonium-10L,L02-P2,L02,P2,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-ammonium-0-DUP,L02-P2,L02,P2,ammonium,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-ammonium-10L-DUP,L02-P2,L02,P2,ammonium,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-nitrite-0,L02-P2,L02,P2,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-nitrite-2L,L02-P2,L02,P2,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-nitrite-5L,L02-P2,L02,P2,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-nitrite-10L,L02-P2,L02,P2,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-nitrite-0-DUP,L02-P2,L02,P2,nitrite,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P2-nitrite-10L-DUP,L02-P2,L02,P2,nitrite,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-orthophosphate-0,L02-P3,L02,P3,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-orthophosphate-2L,L02-P3,L02,P3,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-orthophosphate-5L,L02-P3,L02,P3,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-orthophosphate-10L,L02-P3,L02,P3,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-ammonium-0,L02-P3,L02,P3,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-ammonium-2L,L02-P3,L02,P3,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-ammonium-5L,L02-P3,L02,P3,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-ammonium-10L,L02-P3,L02,P3,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-nitrite-0,L02-P3,L02,P3,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-nitrite-2L,L02-P3,L02,P3,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-nitrite-5L,L02-P3,L02,P3,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02-P3-nitrite-10L,L02-P3,L02,P3,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-orthophosphate-0,L03-P1,L03,P1,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-orthophosphate-2L,L03-P1,L03,P1,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-orthophosphate-5L,L03-P1,L03,P1,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-orthophosphate-10L,L03-P1,L03,P1,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-ammonium-0,L03-P1,L03,P1,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-ammonium-2L,L03-P1,L03,P1,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-ammonium-5L,L03-P1,L03,P1,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-ammonium-10L,L03-P1,L03,P1,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-nitrite-0,L03-P1,L03,P1,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-nitrite-2L,L03-P1,L03,P1,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-nitrite-5L,L03-P1,L03,P1,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P1-nitrite-10L,L03-P1,L03,P1,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-orthophosphate-0,L03-P2,L03,P2,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-orthophosphate-2L,L03-P2,L03,P2,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-orthophosphate-5L,L03-P2,L03,P2,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-orthophosphate-10L,L03-P2,L03,P2,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-orthophosphate-0-DUP,L03-P2,L03,P2,orthophosphate,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-orthophosphate-10L-DUP,L03-P2,L03,P2,orthophosphate,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-ammonium-0,L03-P2,L03,P2,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-ammonium-2L,L03-P2,L03,P2,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-ammonium-5L,L03-P2,L03,P2,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-ammonium-10L,L03-P2,L03,P2,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-ammonium-0-DUP,L03-P2,L03,P2,ammonium,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-ammonium-10L-DUP,L03-P2,L03,P2,ammonium,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-nitrite-0,L03-P2,L03,P2,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-nitrite-2L,L03-P2,L03,P2,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-nitrite-5L,L03-P2,L03,P2,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-nitrite-10L,L03-P2,L03,P2,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-nitrite-0-DUP,L03-P2,L03,P2,nitrite,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P2-nitrite-10L-DUP,L03-P2,L03,P2,nitrite,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-orthophosphate-0,L03-P3,L03,P3,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-orthophosphate-2L,L03-P3,L03,P3,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-orthophosphate-5L,L03-P3,L03,P3,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-orthophosphate-10L,L03-P3,L03,P3,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-ammonium-0,L03-P3,L03,P3,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-ammonium-2L,L03-P3,L03,P3,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-ammonium-5L,L03-P3,L03,P3,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-ammonium-10L,L03-P3,L03,P3,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-nitrite-0,L03-P3,L03,P3,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-nitrite-2L,L03-P3,L03,P3,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-nitrite-5L,L03-P3,L03,P3,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03-P3-nitrite-10L,L03-P3,L03,P3,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-orthophosphate-0,L04-P1,L04,P1,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-orthophosphate-2L,L04-P1,L04,P1,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-orthophosphate-5L,L04-P1,L04,P1,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-orthophosphate-10L,L04-P1,L04,P1,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-ammonium-0,L04-P1,L04,P1,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-ammonium-2L,L04-P1,L04,P1,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-ammonium-5L,L04-P1,L04,P1,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-ammonium-10L,L04-P1,L04,P1,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-nitrite-0,L04-P1,L04,P1,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-nitrite-2L,L04-P1,L04,P1,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-nitrite-5L,L04-P1,L04,P1,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P1-nitrite-10L,L04-P1,L04,P1,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-orthophosphate-0,L04-P2,L04,P2,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-orthophosphate-2L,L04-P2,L04,P2,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-orthophosphate-5L,L04-P2,L04,P2,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-orthophosphate-10L,L04-P2,L04,P2,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-orthophosphate-0-DUP,L04-P2,L04,P2,orthophosphate,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-orthophosphate-10L-DUP,L04-P2,L04,P2,orthophosphate,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-ammonium-0,L04-P2,L04,P2,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-ammonium-2L,L04-P2,L04,P2,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-ammonium-5L,L04-P2,L04,P2,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-ammonium-10L,L04-P2,L04,P2,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-ammonium-0-DUP,L04-P2,L04,P2,ammonium,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-ammonium-10L-DUP,L04-P2,L04,P2,ammonium,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-nitrite-0,L04-P2,L04,P2,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-nitrite-2L,L04-P2,L04,P2,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-nitrite-5L,L04-P2,L04,P2,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-nitrite-10L,L04-P2,L04,P2,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-nitrite-0-DUP,L04-P2,L04,P2,nitrite,0,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P2-nitrite-10L-DUP,L04-P2,L04,P2,nitrite,10L,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-orthophosphate-0,L04-P3,L04,P3,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-orthophosphate-2L,L04-P3,L04,P3,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-orthophosphate-5L,L04-P3,L04,P3,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-orthophosphate-10L,L04-P3,L04,P3,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-ammonium-0,L04-P3,L04,P3,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-ammonium-2L,L04-P3,L04,P3,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-ammonium-5L,L04-P3,L04,P3,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-ammonium-10L,L04-P3,L04,P3,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-nitrite-0,L04-P3,L04,P3,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-nitrite-2L,L04-P3,L04,P3,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-nitrite-5L,L04-P3,L04,P3,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L04-P3-nitrite-10L,L04-P3,L04,P3,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P1-orthophosphate-0,L05-P1,L05,P1,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P1-orthophosphate-2L,L05-P1,L05,P1,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P1-orthophosphate-5L,L05-P1,L05,P1,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
